;10.15 - 11.50;1;;;;;;;Профессионально-ориентированный иностранный язык;;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;;;;;Методы оптимизации;Методы оптимизации;;;;;;Математическое моделирование в задачах информационной безопасности;Математическое моделирование в задачах информационной безопасности;;;;;;;;Инструментальные средства разработки ИС;Инструментальные средства разработки ИС;;
;;;;;;;;;Лабушева Т.М.;;;;;;;;;;;;;;;;Тынченко В.В.;Тынченко В.В.;;;;;;Кириллова С.В.;Кириллова С.В.;;;;;;;;Кустов Д.В.;Кустов Д.В.;;
;;;Корпус №14;Корпус №14;Корпус №14;Корпус №14;Корпус №14;Корпус №14;Корпус №14;Корпус №14;;;;;;;;;;;Корпус №17;Корпус №17;;;Корпус №15;Корпус №15;;Корпус №17;Корпус №17;;;Корпус №17;Корпус №17;;;;;;Корпус №15;;Корпус №17;Корпус №17;;
;;;34-14;34-14;34-14;34-14;34-14;34-14;34-14;34-14;;;;;;;;;;;4-02;4-02;;;4-15;4-15;;3-21;5-15;;;1-14;1-14;;;;;;5-03;;4-17;4-17;;
;;;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;;;синхронно;синхронно;;синхронно;синхронно;;;синхронно;синхронно;;;;;;синхронно;;синхронно;синхронно;;
;;2;Системное программное обеспечение;Системное программное обеспечение;Системное программное обеспечение;Системное программное обеспечение;Системное программное обеспечение;Системное программное обеспечение;Системное программное обеспечение;Системное программное обеспечение;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;;;;;Профессионально-ориентированный иностранный язык;Профессионально-ориентированный иностранный язык;;Электроника и схемотехника;Электроника и схемотехника;Безопасность жизнедеятельности;Безопасность жизнедеятельности;Электроника и схемотехника;Электроника и схемотехника;;;;;;;;Теория алгоритмов;Теория алгоритмов;;
;;;Кузьмин Д.А.;Кузьмин Д.А.;Кузьмин Д.А.;Кузьмин Д.А.;Кузьмин Д.А.;Кузьмин Д.А.;Кузьмин Д.А.;Кузьмин Д.А.;;;;;;;;;;;;;;;Личаргин Д.В.;Личаргин Д.В.;;Довгун В.П.;Довгун В.П.;Чурбакова О.В.;Чурбакова О.В.;Важенина И.Г.;Важенина И.Г.;;;;;;;;Халтурин Е.А.;Халтурин Е.А.;;
;;;лекция;лекция;лекция;лекция;лекция;лекция;лекция;лекция;;;;;;;;;;;;;;;пр. занятие;пр. занятие;;пр. занятие;пр. занятие;пр. занятие;пр. занятие;лекция;лекция;;;;;;;;пр. занятие;пр. занятие;;
;;;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;;;;;;;;;;;;;;;Корпус №12;Корпус №12;;Корпус №17;Корпус №17;Корпус №80;Корпус №80;Корпус №17;Корпус №17;;;;;;;;Корпус №17;Корпус №17;;
;;;1-16;1-16;1-16;1-16;1-16;1-16;1-16;1-16;;;;;;;;;;;;;;;2-12;2-12;;3-21;3-21;4-13;4-13;1-14;1-14;;;;;;;;4-17;4-17;;
;;;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;;;;;синхронно;синхронно;;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;;;;;;;;синхронно;синхронно;;
;14.10 - 15.45;1;Теория управления;Теория управления;Теория управления;Теория управления;Теория управления;Теория управления;Теория управления;Теория управления;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;Серверное программирование;Серверное программирование;;;Разработка корпоративных информационных систем;Разработка корпоративных информационных систем;Методы оптимизации;Электроника и схемотехника;Электроника и схемотехника;Электроника и схемотехника;Электроника и схемотехника;Электроника и схемотехника;Электроника и схемотехника;Методы машинного обучения;Методы машинного обучения;;;;Теория алгоритмов;Теория алгоритмов;Мобильные приложения;Мобильные приложения;;
