Дни;Часы;Неделя;09.03.01 Информатика и вычислительная техника;;;;;;;;;;;;;;09.03.04 Программная инженерия;;;;;;01.03.04 Прикладная математика;10.05.01 Компьютерная безопасность;;10.05.03 Информационная безопасность автоматизированных систем;;10.03.01 Информационная безопасность;;27.03.03 Системный анализ и управление;;27.03.04 Управление в технических системах;;15.03.04 Автоматизация технологических процессов и производств;09.03.03 Прикладная информатика;;;
;;;КИ20-06б                                     (1 подгруппа);КИ20-06б                                     (2 подгруппа);КИ20-07б                                     (1 подгруппа);КИ20-07б                                     (2 подгруппа);КИ20-08б                                     (1 подгруппа);КИ20-08б                                     (2 подгруппа);КИ20-11б                                     (1 подгруппа);КИ20-11б                                     (2 подгруппа);КИ20-12б                                     (1 подгруппа);КИ20-12б                                     (2 подгруппа);КИ20-13б                                     (1 подгруппа);КИ20-13б                                     (2 подгруппа);КИ20-14б                                     (1 подгруппа);КИ20-14б                                     (2 подгруппа);КИ21-16/1б                                     (1 подгруппа);КИ20-16/1б                                     (2 подгруппа);КИ20-16/2б                                     (1 подгруппа);КИ20-16/2б                                     (2 подгруппа);КИ20-17/1б                                     (1 подгруппа);КИ20-17/1б                                     (2 подгруппа);КИ20-18б;КИ20-01                                     (1 подгруппа);КИ20-01                                     (2 подгруппа);КИ20-02                                     (1 подгруппа);КИ20-02                                     (2 подгруппа);КИ20-02/1б                                     (1 подгруппа);КИ20-02/1б                                     (2 подгруппа);КИ20-03б                                     (1 подгруппа);КИ20-03б                                     (2 подгруппа);КИ20-04б                                     (1 подгруппа);КИ20-04б                                     (2 подгруппа);КИ20-05б                                    ;КИ20-20б                                     (1 подгруппа);КИ20-20б                                     (2 подгруппа);КИ20-21б                                     (1 подгруппа);КИ20-21б                                     (2 подгруппа)
;14.10 - 15.45;1;;;;;Программируемые логические интегральные схемы;Программируемые логические интегральные схемы;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;Технологии анализа данных;Технологии анализа данных;Технологии анализа данных;Технологии анализа данных;Технологии анализа данных;Технологии анализа данных;Бакалаврский семинар;Исследование операций;Исследование операций;Операционные системы;Операционные системы;Социология;Социология;Хранилища данных;Хранилища данных;SCADA-системы;SCADA-системы;SCADA-системы;Тестирование и контроль качества ПО;Тестирование и контроль качества ПО;Интернет предпринимательство;Интернет предпринимательство
;;;;;;;Бывшев Е.С.;Бывшев Е.С.;;;;;;;;;Михалев А.С.;Михалев А.С.;Михалев А.С.;Михалев А.С.;Михалев А.С.;Михалев А.С.;Федотова И.М.;Кацунова А.С.;Кацунова А.С.;Макуха Л.В.;Макуха Л.В.;Малимонов И.В.;Малимонов И.В.;Пупков А.Н.;Пупков А.Н.;Авласко П.В.;Авласко П.В.;Авласко П.В.;Рогалев А.А.;Рогалев А.А.;Демко А.В.;Демко А.В.
;;;;;;;лаб. работа;лаб. работа;;;;;;;;;лекция;лекция;лекция;лекция;лекция;лекция;пр. занятие;лекция;лекция;лаб. работа;лаб. работа;пр. занятие;пр. занятие;лекция;лекция;лекция;лекция;лекция;пр. занятие;пр. занятие;пр. занятие;пр. занятие
;;;;;;;Корпус №17;Корпус №17;;;;;;;;;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;ЭИОС;ЭИОС;ЭИОС;Корпус №17;Корпус №17;Корпус №15;Корпус №15
;;;;;;;4-19;4-19;;;;;;;;;1-19;1-19;1-19;1-19;1-19;1-19;2-20;1-18;1-18;3-01;3-01;5-12;5-12;5-15;5-15;https://e.sfu-kras.ru/course/view.php?id=182;https://e.sfu-kras.ru/course/view.php?id=182;https://e.sfu-kras.ru/course/view.php?id=182;4-23;4-23;4-15;4-15
;;;;;;;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;асинхронно;асинхронно;асинхронно;синхронно;синхронно;синхронно;синхронно
;;2;;;Междисциплинарный курсовой проект;Междисциплинарный курсовой проект;Программируемые логические интегральные схемы;Программируемые логические интегральные схемы;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;День военной подготовки;Технологии анализа данных;Технологии анализа данных;Технологии анализа данных;Технологии анализа данных;Технологии анализа данных;Технологии анализа данных;Бакалаврский семинар;Исследование операций;Исследование операций;Операционные системы;Операционные системы;Социология;Социология;Хранилища данных;Хранилища данных;SCADA-системы;SCADA-системы;SCADA-системы;Тестирование и контроль качества ПО;Тестирование и контроль качества ПО;Интернет предпринимательство;Интернет предпринимательство
;;;;;Середкин В.Г.;Середкин В.Г.;Бывшев Е.С.;Бывшев Е.С.;;;;;;;;;Михалев А.С.;Михалев А.С.;Михалев А.С.;Михалев А.С.;Михалев А.С.;Михалев А.С.;Федотова И.М.;Кацунова А.С.;Кацунова А.С.;Макуха Л.В.;Макуха Л.В.;Малимонов И.В.;Малимонов И.В.;Пупков А.Н.;Пупков А.Н.;Авласко П.В.;Авласко П.В.;Авласко П.В.;Рогалев А.А.;Рогалев А.А.;Демко А.В.;Демко А.В.
;;;;;пр. занятие;пр. занятие;лаб. работа;лаб. работа;;;;;;;;;лекция;лекция;лекция;лекция;лекция;лекция;пр. занятие;лекция;лекция;лаб. работа;лаб. работа;пр. занятие;пр. занятие;лекция;лекция;лекция;лекция;лекция;пр. занятие;пр. занятие;пр. занятие;пр. занятие
;;;;;Корпус №17;Корпус №17;Корпус №17;Корпус №17;;;;;;;;;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;ЭИОС;ЭИОС;ЭИОС;Корпус №17;Корпус №17;Корпус №15;Корпус №15
