;;Группа:;КИ22-20Б;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
РАСПИСАНИЕ УЧЕБНЫХ ЗАНЯТИЙ;;;;;;;"ФГАОУ ВО ""Сибирский федеральный университет""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Осенний семестр;2023-2024;года;;УТВЕРЖДАЮ __________________________;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Институт:;;ИКИТ;;;;;Ректор                             М.В. Румянцев;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Накрохин В.В.;Накрохин В.В.;Черепанов А.Ю.;Черепанов А.Ю.;Дорошенко О.Я.;Дорошенко О.Я.;;;Брежнев Р.В.;Брежнев Р.В.;Брежнев Р.В.;Брежнев Р.В.;Брежнев Р.В.;Брежнев Р.В.;Брежнев Р.В.;Брежнев Р.В.;Кошелева А.В.;Кошелева А.В.;Пересунько Е.О.;Пересунько Е.О.;;;Антипова И.А.;Кацунова А.С.;Кацунова А.С.;Богульская Н.А.;Богульская Н.А.;Титовский С.Н.;Титовский С.Н.;Даниленко А.С.;Слепченко Н.Н.;Макуха Л.В.;Макуха Л.В.;;;Авласко П.В.;Авласко П.В.;Троценко Л.С.;Троценко Л.С.;Вакансия;Вакансия
;;;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;;;лекция;лекция;лекция;лекция;лекция;лекция;лекция;лекция;пр. занятие;пр. занятие;пр. занятие;пр. занятие;;;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;лаб. работа;лаб. работа;;;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие
;;;ЭИОС;ЭИОС;ЭИОС;ЭИОС;ЭИОС;ЭИОС;;;ЭИОС;ЭИОС;ЭИОС;ЭИОС;ЭИОС;ЭИОС;ЭИОС;ЭИОС;Корпус №17;Корпус №17;Корпус №17;Корпус №17;;;Корпус №17;Корпус №15;Корпус №15;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;;;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17
;;;https://e.sfu-kras.ru/course/view.php?id=31707;https://e.sfu-kras.ru/course/view.php?id=31707;https://e.sfu-kras.ru/course/view.php?id=31707;https://e.sfu-kras.ru/course/view.php?id=31707;https://e.sfu-kras.ru/course/view.php?id=31707;https://e.sfu-kras.ru/course/view.php?id=31707;;;https://e.sfu-kras.ru/course/view.php?id=27121;https://e.sfu-kras.ru/course/view.php?id=27121;https://e.sfu-kras.ru/course/view.php?id=27121;https://e.sfu-kras.ru/course/view.php?id=27121;https://e.sfu-kras.ru/course/view.php?id=27121;https://e.sfu-kras.ru/course/view.php?id=27121;https://e.sfu-kras.ru/course/view.php?id=27121;https://e.sfu-kras.ru/course/view.php?id=27121;2-20;2-20;4-20;4-20;;;1-17;5-16;5-16;5-11;5-11;4-23;4-23;2-01;2-02;3-01;3-01;;;1-14;1-14;4-02;4-02;4-19;4-19
;;;асинхронно;асинхронно;асинхронно;асинхронно;асинхронно;асинхронно;;;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;;;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;;;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно
;12.00 - 13.35;1;;;;;;;Физическая культура и спорт;Физическая культура и спорт;Информационные технологии;Информационные технологии;Информационные технологии;Информационные технологии;Информационные технологии;Информационные технологии;Информационные технологии;Информационные технологии;Технологии личностного роста и социальных взаимодействий;Технологии личностного роста и социальных взаимодействий;Математическая логика и теория алгоритмов;Математическая логика и теория алгоритмов;Разработка и анализ требований;Разработка и анализ требований;Физика;Языки программирования. Дополнительные разделы;Языки программирования. Дополнительные разделы;Языки программирования. Дополнительные разделы;Языки программирования. Дополнительные разделы;Языки программирования. Дополнительные разделы;Языки программирования. Дополнительные разделы;Языки программирования. Дополнительные разделы;Языки программирования. Дополнительные разделы;Языки программирования. Дополнительные разделы;Языки программирования. Дополнительные разделы;Теория вероятностей;Теория вероятностей;Иностранный язык;Иностранный язык;Проектирование информационных систем;Проектирование информационных систем;Иностранный язык;Иностранный язык
;;;;;;;;;Дергач Е.А.;Дергач Е.А.;Молокова Н.В.;Молокова Н.В.;Молокова Н.В.;Молокова Н.В.;Молокова Н.В.;Молокова Н.В.;Молокова Н.В.;Молокова Н.В.;Гончаревич Н.А.;Гончаревич Н.А.;Кошелева А.В.;Кошелева А.В.;Пересунько Е.О.;Пересунько Е.О.;Ли О.А.;Титовский С.Н.;Титовский С.Н.;Титовский С.Н.;Титовский С.Н.;Титовский С.Н.;Титовский С.Н.;Титовский С.Н.;Титовский С.Н.;Титовский С.Н.;Титовский С.Н.;Федотова И.М.;Федотова И.М.;Думлер Н.П.;Слепченко Н.Н.;Вакансия;Вакансия;Гордеева А.Т.;Лабушева Т.М.
;;;;;;;;;пр. занятие;пр. занятие;лекция;лекция;лекция;лекция;лекция;лекция;лекция;лекция;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;лекция;лекция;лекция;лекция;лекция;лекция;лекция;лекция;лекция;лекция;лекция;лекция;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие
;;;;;;;;;ЭИОС;ЭИОС;ЭИОС;ЭИОС;ЭИОС;ЭИОС;ЭИОС;ЭИОС;ЭИОС;ЭИОС;Корпус №15;Корпус №15;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №80;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17
;;;;;;;;;https://e.sfu-kras.ru/course/view.php?id=31707;https://e.sfu-kras.ru/course/view.php?id=31707;https://e.sfu-kras.ru/course/view.php?id=22278;https://e.sfu-kras.ru/course/view.php?id=22278;https://e.sfu-kras.ru/course/view.php?id=22278;https://e.sfu-kras.ru/course/view.php?id=22278;https://e.sfu-kras.ru/course/view.php?id=22278;https://e.sfu-kras.ru/course/view.php?id=22278;https://e.sfu-kras.ru/course/view.php?id=22278;https://e.sfu-kras.ru/course/view.php?id=22278;3-13;3-13;2-20;2-20;4-20;4-20;3-06;1-19;1-19;1-19;1-19;1-19;1-19;1-19;1-19;1-19;1-19;1-18;1-18;2-01;2-02;4-21;4-21;2-03;5-12
;;;;;;;;;синхронно;синхронно;асинхронно;асинхронно;асинхронно;асинхронно;асинхронно;асинхронно;асинхронно;асинхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно
;;2;Физическая культура и спорт;Физическая культура и спорт;Физическая культура и спорт;Физическая культура и спорт;Физическая культура и спорт;Физическая культура и спорт;Физическая культура и спорт;Физическая культура и спорт;Физическая культура и спорт;Физическая культура и спорт;Физическая культура и спорт;Физическая культура и спорт;Физическая культура и спорт;Физическая культура и спорт;Физическая культура и спорт;Физическая культура и спорт;Проектирование программного обеспечения;Проектирование программного обеспечения;Математическая логика и теория алгоритмов;Математическая логика и теория алгоритмов;Разработка и анализ требований;Разработка и анализ требований;;Языки программирования. Дополнительные разделы;Языки программирования. Дополнительные разделы;Языки программирования. Дополнительные разделы;Языки программирования. Дополнительные разделы;Языки программирования. Дополнительные разделы;Языки программирования. Дополнительные разделы;Языки программирования. Дополнительные разделы;Языки программирования. Дополнительные разделы;Языки программирования. Дополнительные разделы;Языки программирования. Дополнительные разделы;Физическая культура и спорт;Физическая культура и спорт;Иностранный язык;Иностранный язык;Проектирование информационных систем;Проектирование информационных систем;Иностранный язык;Иностранный язык
;;;Дергач Е.А.;Дергач Е.А.;Дергач Е.А.;Дергач Е.А.;Дергач Е.А.;Дергач Е.А.;Дергач Е.А.;Дергач Е.А.;Дергач Е.А.;Дергач Е.А.;Дергач Е.А.;Дергач Е.А.;Дергач Е.А.;Дергач Е.А.;Черепанов А.Ю.;Черепанов А.Ю.;Кузнецов А.С.;Кузнецов А.С.;Кошелева А.В.;Кошелева А.В.;Пересунько Е.О.;Пересунько Е.О.;;Титовский С.Н.;Титовский С.Н.;Титовский С.Н.;Титовский С.Н.;Титовский С.Н.;Титовский С.Н.;Титовский С.Н.;Титовский С.Н.;Титовский С.Н.;Титовский С.Н.;Демонов В.Н.;Демонов В.Н.;Думлер Н.П.;Слепченко Н.Н.;Вакансия;Вакансия;Гордеева А.Т.;Лабушева Т.М.
;;;лекция;лекция;лекция;лекция;лекция;лекция;лекция;лекция;лекция;лекция;лекция;лекция;лекция;лекция;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;;лекция;лекция;лекция;лекция;лекция;лекция;лекция;лекция;лекция;лекция;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие
;;;ЭИОС;ЭИОС;ЭИОС;ЭИОС;ЭИОС;ЭИОС;ЭИОС;ЭИОС;ЭИОС;ЭИОС;ЭИОС;ЭИОС;ЭИОС;ЭИОС;ЭИОС;ЭИОС;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;ЭИОС;ЭИОС;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17
;;;https://e.sfu-kras.ru/course/view.php?id=31707;https://e.sfu-kras.ru/course/view.php?id=31707;https://e.sfu-kras.ru/course/view.php?id=31707;https://e.sfu-kras.ru/course/view.php?id=31707;https://e.sfu-kras.ru/course/view.php?id=31707;https://e.sfu-kras.ru/course/view.php?id=31707;https://e.sfu-kras.ru/course/view.php?id=31707;https://e.sfu-kras.ru/course/view.php?id=31707;https://e.sfu-kras.ru/course/view.php?id=31707;https://e.sfu-kras.ru/course/view.php?id=31707;https://e.sfu-kras.ru/course/view.php?id=31707;https://e.sfu-kras.ru/course/view.php?id=31707;https://e.sfu-kras.ru/course/view.php?id=31707;https://e.sfu-kras.ru/course/view.php?id=31707;https://e.sfu-kras.ru/course/view.php?id=31707;https://e.sfu-kras.ru/course/view.php?id=31707;4-02;4-02;2-20;2-20;4-20;4-20;;1-19;1-19;1-19;1-19;1-19;1-19;1-19;1-19;1-19;1-19;https://e.sfu-kras.ru/course/view.php?id=31707;https://e.sfu-kras.ru/course/view.php?id=31707;2-01;2-02;4-21;4-21;2-03;5-12
;;;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;асинхронно;асинхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;асинхронно;асинхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно
;14.10 - 15.45;1;;;;;;;Технологии личностного роста и социальных взаимодействий;Технологии личностного роста и социальных взаимодействий;;Физическая культура и спорт;Технологии личностного роста и социальных взаимодействий;Технологии личностного роста и социальных взаимодействий;Технологии личностного роста и социальных взаимодействий;Технологии личностного роста и социальных взаимодействий;Технологии личностного роста и социальных взаимодействий;Технологии личностного роста и социальных взаимодействий;Физическая культура и спорт;Физическая культура и спорт;Технологии личностного роста и социальных взаимодействий;Технологии личностного роста и социальных взаимодействий;;;;Информационные технологии;Информационные технологии;Информационные технологии;Информационные технологии;Иностранный язык;Иностранный язык;Языки программирования. Дополнительные разделы;Языки программирования. Дополнительные разделы;Иностранный язык;Иностранный язык;Физика;Физика;;;;;;
;;;;;;;;;Тимошков А.В.;Тимошков А.В.;;Дорошенко О.Я.;Шестаков В.Н.;Шестаков В.Н.;Шестаков В.Н.;Шестаков В.Н.;Шестаков В.Н.;Шестаков В.Н.;Черепанов А.Ю.;Черепанов А.Ю.;Гончаревич Н.А.;Гончаревич Н.А.;;;;Молокова Н.В.;Молокова Н.В.;Молокова Н.В.;Молокова Н.В.;Гордеева А.Т.;Слепченко Н.Н.;Титовский С.Н.;Титовский С.Н.;Даниленко А.С.;Николаева Н.В.;Ли О.А.;Ли О.А.;;;;;;
;;;;;;;;;пр. занятие;пр. занятие;;пр. занятие;лекция;лекция;лекция;лекция;лекция;лекция;пр. занятие;пр. занятие;пр. занятие;пр. занятие;;;;лекция;лекция;лекция;лекция;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;;;;;;
;;;;;;;;;ЭИОС;ЭИОС;;ЭИОС;ЭИОС;ЭИОС;ЭИОС;ЭИОС;ЭИОС;ЭИОС;ЭИОС;ЭИОС;Корпус №15;Корпус №15;;;;ЭИОС;ЭИОС;ЭИОС;ЭИОС;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №80;Корпус №80;;;;;;
