;;Группа:;КИ23-10Б;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
РАСПИСАНИЕ УЧЕБНЫХ ЗАНЯТИЙ;;;;;;;"ФГАОУ ВО ""Сибирский федеральный университет""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Осенний семестр;2023-2024;года;;УТВЕРЖДАЮ __________________________;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Институт:;;ИКИТ;;;;;Ректор                             М.В. Румянцев;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;пр. занятие;пр. занятие;пр. занятие;лаб. работа;лаб. работа;пр. занятие;лекция;лекция;лекция;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;;;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;лекция;лекция;лекция;лекция;лекция;лекция;лекция
;;;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;2-19, ЭИОС;2-19, ЭИОС;2-19, ЭИОС;Корпус №15;Корпус №15;ЭИОС;ЭИОС;ЭИОС;ЭИОС;ЭИОС;ЭИОС;ЭИОС;ЭИОС;;;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17
;;;5-15;5-15;4-01;4-12;4-13;4-17;https://e.sfu-kras.ru/course/view.php?id=29128;https://e.sfu-kras.ru/course/view.php?id=29128;https://e.sfu-kras.ru/course/view.php?id=29128;3-11;3-11;https://e.sfu-kras.ru/course/view.php?id=32801;https://e.sfu-kras.ru/course/view.php?id=32801;https://e.sfu-kras.ru/course/view.php?id=36628;https://e.sfu-kras.ru/course/view.php?id=36628;https://e.sfu-kras.ru/course/view.php?id=32801;https://e.sfu-kras.ru/course/view.php?id=32801;https://e.sfu-kras.ru/course/view.php?id=32801;https://e.sfu-kras.ru/course/view.php?id=32801;;;4-10;4-10;4-02;4-02;5-01;5-01;5-10;5-10;4-16;4-21;5-12;5-12;4-07;4-07;5-02;5-02;2-03;2-03;1-18;1-18;1-15;1-15;1-15;1-16;1-16;1-16;1-16
;;;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;асинхронно;асинхронно;асинхронно;асинхронно;асинхронно;асинхронно;асинхронно;асинхронно;;;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно
;;2;Математический анализ;Математический анализ;Основы программирования;Введение в профессиональную деятельность;Введение в профессиональную деятельность;Информатика;Введение в профессиональную деятельность;Введение в профессиональную деятельность;Введение в профессиональную деятельность;Математический анализ;Математический анализ;;;;;История России;История России;История России;История России;История России;История России;Основы программирования;Основы программирования;Информатика;Информатика;Математический анализ;Математический анализ;Аналитическая геометрия;Аналитическая геометрия;Языки программирования;Иностранный язык;Основы российской государственности;Основы российской государственности;Языки программирования;Языки программирования;Математический анализ;Математический анализ;Основы российской государственности;Основы российской государственности;Основы программирования;Основы программирования;Основы программирования;Основы программирования;Основы программирования;Деловая коммуникация на русском языке;Деловая коммуникация на русском языке;Деловая коммуникация на русском языке;Деловая коммуникация на русском языке
;;;Зыкова Т.В.;Зыкова Т.В.;Верхошенцева С.Л.;Вакансия;Шишкина И.С.;Алексеев М.В.;Кушнаренко А.В.;Кушнаренко А.В.;Кушнаренко А.В.;Карнаухова О.А.;Карнаухова О.А.;;;;;Алексеев О.Г.;Алексеев О.Г.;Алексеев О.Г.;Алексеев О.Г.;Алексеев О.Г.;Алексеев О.Г.;Вакансия;Вакансия;Пупков А.Н.;Пупков А.Н.;Белько Е.С.;Белько Е.С.;Кириллов К.А.;Кириллов К.А.;Кемельбаева А.Р.;Хлякин О.С.;Хаит Н.Л.;Хаит Н.Л.;Бураков С.В.;Бураков С.В.;Кочеткова Т.О.;Кочеткова Т.О.;Никуленков В.В.;Никуленков В.В.;Тынченко В.В.;Тынченко В.В.;Тынченко В.В.;Тынченко В.В.;Тынченко В.В.;Колобаев П.А.;Колобаев П.А.;Колобаев П.А.;Колобаев П.А.
;;;пр. занятие;пр. занятие;пр. занятие;лаб. работа;лаб. работа;пр. занятие;лекция;лекция;лекция;пр. занятие;пр. занятие;;;;;лекция;лекция;лекция;лекция;лекция;лекция;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;лекция;лекция;лекция;лекция;лекция;лекция;лекция;лекция;лекция
;;;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;2-19, ЭИОС;2-19, ЭИОС;2-19, ЭИОС;Корпус №15;Корпус №15;;;;;Корпус №14;Корпус №14;Корпус №14;Корпус №14;Корпус №14;Корпус №14;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17
;;;5-15;5-15;4-01;4-12;4-13;4-17;;;;3-13;3-13;;;;;34-08;34-08;34-08;34-08;34-08;34-08;4-10;4-10;4-02;4-02;5-01;5-01;5-10;5-10;4-16;4-21;5-12;5-12;4-07;4-07;5-02;5-02;2-03;2-03;1-15;1-15;1-15;1-15;1-15;1-16;1-16;1-16;1-16
;;;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;;;;;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно;синхронно
;12.00 - 13.35;1;Основы российской государственности;Основы российской государственности;Введение в профессиональную деятельность;;Основы программирования;Введение в профессиональную деятельность;;Иностранный язык;;;;;;;;;;;;Физическая культура и спорт;Физическая культура и спорт;;;Основы программирования;Основы программирования;Информатика;Информатика;Языки программирования;Языки программирования;Языки программирования;Языки программирования;Языки программирования;Языки программирования;История России;История России;Языки программирования;Языки программирования;Математический анализ;Математический анализ;Математический анализ;Математический анализ;Математический анализ;Математический анализ;Математический анализ;Физическая культура и спорт;Физическая культура и спорт;Высшая математика;Высшая математика
;;;Хаит Н.Л.;Хаит Н.Л.;Вакансия;;Верхошенцева С.Л.;Шишкина И.С.;;Ямских Т.Н.;;;;;;;;;;;;Авдеев С.П.;Авдеев С.П.;;;Вакансия;Вакансия;Пупков А.Н.;Пупков А.Н.;Кузьмин Д.Н.;Кузьмин Д.Н.;Кузьмин Д.Н.;Кузьмин Д.Н.;Кузьмин Д.Н.;Кузьмин Д.Н.;Алексеев О.Г.;Алексеев О.Г.;Бураков С.В.;Бураков С.В.;Кочеткова Т.О.;Кочеткова Т.О.;Карнаухова О.А.;Карнаухова О.А.;Карнаухова О.А.;Карнаухова О.А.;Карнаухова О.А.;Петрова С.С.;Петрова С.С.;Кацунова А.С.;Кацунова А.С.
;;;пр. занятие;пр. занятие;лаб. работа;;пр. занятие;лаб. работа;;пр. занятие;;;;;;;;;;;;пр. занятие;пр. занятие;;;пр. занятие;пр. занятие;пр. занятие;пр. занятие;лекция;лекция;лекция;лекция;лекция;лекция;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;пр. занятие;лекция;лекция;лекция;лекция;лекция;пр. занятие;пр. занятие;пр. занятие;пр. занятие
;;;Корпус №17;Корпус №17;Корпус №17;;Корпус №17;Корпус №17;;2-19, ЭИОС;;;;;;;;;;;;ЭИОС;ЭИОС;;;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №15;Корпус №15;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;Корпус №17;ЭИОС;ЭИОС;Корпус №17;Корпус №17
